m,n,k,a_type,b_type,c_type,d_type,origami_gflops,other_gflops,perf_pct
1,1792,32,bf16_r,bf16_r,bf16_r,bf16_r,23.947,24.288,98.6
1,1792,128,bf16_r,bf16_r,bf16_r,bf16_r,34.342,37.987,90.4
1,1792,512,bf16_r,bf16_r,bf16_r,bf16_r,167.891,176.348,95.2
1,3072,32,bf16_r,bf16_r,bf16_r,bf16_r,15.908,18.063,88.1
1,3072,512,bf16_r,bf16_r,bf16_r,bf16_r,227.951,243.574,93.6
1,3072,1024,bf16_r,bf16_r,bf16_r,bf16_r,424.778,523.184,81.2
1,592704,12,f32_r,f32_r,f32_r,f32_r,651.391,635.131,102.6
1,786144,9,f32_r,f32_r,f32_r,f32_r,603.180,612.383,98.5
1,875568,8,f32_r,f32_r,f32_r,f32_r,742.045,728.566,101.9
1,925632,10,f32_r,f32_r,f32_r,f32_r,632.498,618.771,102.2
4,6577472,12,f32_r,f32_r,f32_r,f32_r,4193.380,4405.180,95.2
4,13744384,12,f32_r,f32_r,f32_r,f32_r,4337.740,4571.960,94.9
4,20920192,12,f32_r,f32_r,f32_r,f32_r,4208.590,4477.200,94.0
4,21907200,8,f32_r,f32_r,f32_r,f32_r,3212.490,3363.630,95.5
7,72,120,bf16_r,bf16_r,bf16_r,bf16_r,11124.300,14000.200,79.5
7,120,72,bf16_r,bf16_r,bf16_r,bf16_r,12533.500,12239.200,102.4
8,1,875568,f32_r,f32_r,f32_r,f32_r,530.077,528.498,100.3
8,4,21907200,f32_r,f32_r,f32_r,f32_r,6895.730,6800.610,101.4
8,875568,1,f32_r,f32_r,f32_r,f32_r,912.122,975.034,93.5
8,21907200,2,f32_r,f32_r,f32_r,f32_r,2407.070,2960.220,81.3
9,1,786144,f32_r,f32_r,f32_r,f32_r,532.224,527.479,100.9
9,786144,1,f32_r,f32_r,f32_r,f32_r,638.223,604.289,105.6
9,6577472,2,f32_r,f32_r,f32_r,f32_r,1981.090,2101.670,94.3
10,1,925632,f32_r,f32_r,f32_r,f32_r,623.432,613.664,101.6
10,120,40,bf16_r,bf16_r,bf16_r,bf16_r,9383.180,9300.620,100.9
10,368640,10,bf16_r,bf16_r,bf16_r,bf16_r,4242.130,4303.610,98.6
10,925632,1,f32_r,f32_r,f32_r,f32_r,548.009,551.179,99.4
10,20920192,2,f32_r,f32_r,f32_r,f32_r,2381.060,2845.090,83.7
12,1,592704,f32_r,f32_r,f32_r,f32_r,587.947,578.558,101.6
12,4,6577472,f32_r,f32_r,f32_r,f32_r,7242.320,6872.650,105.4
12,4,13744384,f32_r,f32_r,f32_r,f32_r,8596.700,7992.400,107.6
12,4,20920192,f32_r,f32_r,f32_r,f32_r,8847.560,8349.980,106.0
12,592704,1,f32_r,f32_r,f32_r,f32_r,755.185,866.961,87.1
12,13744384,2,f32_r,f32_r,f32_r,f32_r,2626.010,2466.190,106.5
15,368640,72,bf16_r,bf16_r,bf16_r,bf16_r,15598.200,24907.800,62.6
16,16,368640,bf16_r,bf16_r,bf16_r,bf16_r,9351.100,9020.210,103.7
16,368640,224,bf16_r,bf16_r,bf16_r,bf16_r,49571.400,58140.100,85.3
24,128,3072,bf16_r,bf16_r,bf16_r,bf16_r,1620.160,1607.850,100.8
24,256,3072,bf16_r,bf16_r,bf16_r,bf16_r,2245.090,2232.530,100.6
24,320,3072,bf16_r,bf16_r,bf16_r,bf16_r,2818.010,2840.700,99.2
24,3072,128,bf16_r,bf16_r,bf16_r,bf16_r,1708.210,1639.350,104.2
24,3072,256,bf16_r,bf16_r,bf16_r,bf16_r,2823.280,3038.830,92.9
24,3072,320,bf16_r,bf16_r,bf16_r,bf16_r,3218.840,3722.610,86.5
32,1,1792,bf16_r,bf16_r,bf16_r,bf16_r,7.678,8.150,94.2
32,1,3072,bf16_r,bf16_r,bf16_r,bf16_r,13.187,14.039,93.9
32,102,120,bf16_r,bf16_r,bf16_r,bf16_r,70647.400,46611.300,151.6
32,120,102,bf16_r,bf16_r,bf16_r,bf16_r,67737.800,62619.900,108.2
32,120,618,bf16_r,bf16_r,bf16_r,bf16_r,126180.000,113538.000,111.1
32,160,257,bf16_r,bf16_r,bf16_r,bf16_r,94248.800,82839.100,113.8
32,160,1867,bf16_r,bf16_r,bf16_r,bf16_r,125996.000,129330.000,97.4
32,192,641,bf16_r,bf16_r,bf16_r,bf16_r,141144.000,122238.000,115.5
32,192,2126,bf16_r,bf16_r,bf16_r,bf16_r,147103.000,133656.000,110.1
32,192,4090,bf16_r,bf16_r,bf16_r,bf16_r,152596.000,146897.000,103.9
32,257,160,bf16_r,bf16_r,bf16_r,bf16_r,72413.700,78085.400,92.7
32,512,1280,bf16_r,bf16_r,bf16_r,bf16_r,2819.740,2884.790,97.7
32,512,3072,bf16_r,bf16_r,bf16_r,bf16_r,6166.020,5565.000,110.8
32,618,120,bf16_r,bf16_r,bf16_r,bf16_r,98652.300,89942.600,109.7
32,641,192,bf16_r,bf16_r,bf16_r,bf16_r,85170.800,113606.000,75.0
32,1792,1,bf16_r,bf16_r,bf16_r,bf16_r,9.089,8.745,103.9
32,1792,128,bf16_r,bf16_r,bf16_r,bf16_r,1281.520,1189.710,107.7
32,1867,160,bf16_r,bf16_r,bf16_r,bf16_r,76709.900,107722.000,71.2
32,2126,192,bf16_r,bf16_r,bf16_r,bf16_r,79898.100,117724.000,67.9
32,3072,1,bf16_r,bf16_r,bf16_r,bf16_r,14.102,14.620,96.5
32,3072,2048,bf16_r,bf16_r,bf16_r,bf16_r,28640.700,29920.100,95.7
32,4090,192,bf16_r,bf16_r,bf16_r,bf16_r,79874.500,130729.000,61.1
32,286720,264,bf16_r,bf16_r,bf16_r,bf16_r,24573.900,49688.400,49.5
32,368640,102,bf16_r,bf16_r,bf16_r,bf16_r,34492.800,57572.100,59.9
32,491520,105,bf16_r,bf16_r,bf16_r,bf16_r,19677.600,44470.800,44.2
40,10,120,bf16_r,bf16_r,bf16_r,bf16_r,17450.900,17264.200,101.1
40,105,160,bf16_r,bf16_r,bf16_r,bf16_r,59229.100,63746.800,92.9
40,120,10,bf16_r,bf16_r,bf16_r,bf16_r,6541.880,6617.120,98.9
40,160,105,bf16_r,bf16_r,bf16_r,bf16_r,59408.600,59648.800,99.6
40,160,1219,bf16_r,bf16_r,bf16_r,bf16_r,108870.000,121633.000,89.5
40,240,3072,bf16_r,bf16_r,bf16_r,bf16_r,3566.670,3737.640,95.4
40,1219,160,bf16_r,bf16_r,bf16_r,bf16_r,86420.800,112296.000,77.0
40,3072,240,bf16_r,bf16_r,bf16_r,bf16_r,4814.850,4405.830,109.3
48,48,98304,f32_r,f32_r,f32_r,f32_r,12062.100,12329.100,97.8
48,48,614400,f32_r,f32_r,f32_r,f32_r,29647.100,29667.300,99.9
48,128,3072,bf16_r,bf16_r,bf16_r,bf16_r,2342.390,2245.000,104.3
48,128,98304,f32_r,f32_r,f32_r,f32_r,25980.200,25779.600,100.8
48,240,3072,bf16_r,bf16_r,bf16_r,bf16_r,4277.300,4475.740,95.6
48,3072,120,f32_r,f32_r,f32_r,f32_r,41531.800,50534.400,82.2
48,3072,128,bf16_r,bf16_r,bf16_r,bf16_r,3235.250,2757.400,117.3
48,3072,240,bf16_r,bf16_r,bf16_r,bf16_r,5069.850,5219.470,97.1
48,98304,48,f32_r,f32_r,f32_r,f32_r,16062.400,15631.800,102.8
48,98304,128,f32_r,f32_r,f32_r,f32_r,49544.900,46080.200,107.5
48,614400,48,f32_r,f32_r,f32_r,f32_r,34275.500,34398.600,99.6
