curve_name,pv_mode,topk,pv_threshold,qscale,measured_sparsity,active_blocks,total_blocks,mean_ns,tops,seed,run_id
fmha_dense,,,,,0.000000,0,0,2318639.0,474.206,42,fmha_dense__seed42
fmha_dense,,,,,0.000000,0,0,2318602.0,474.213,43,fmha_dense__seed43
fmha_dense,,,,,0.000000,0,0,2315332.0,474.883,44,fmha_dense__seed44
fmha_dense,,,,,0.000000,0,0,2322245.0,473.469,45,fmha_dense__seed45
fmha_dense,,,,,0.000000,0,0,2319422.0,474.046,46,fmha_dense__seed46
fmha_sage,,,,,0.000000,0,0,1424073.0,772.089,42,fmha_sage__seed42
fmha_sage,,,,,0.000000,0,0,1422417.0,772.988,43,fmha_sage__seed43
fmha_sage,,,,,0.000000,0,0,1419068.0,774.813,44,fmha_sage__seed44
fmha_sage,,,,,0.000000,0,0,1422597.0,772.890,45,fmha_sage__seed45
fmha_sage,,,,,0.000000,0,0,1419923.0,774.346,46,fmha_sage__seed46
sparge_fp16,warp,0.1000,20,,0.910000,24576,262144,433070.0,2538.877,42,sparge_fp16__topk0.10__seed42
sparge_fp16,warp,0.1000,20,,0.910000,24576,262144,434966.0,2527.811,43,sparge_fp16__topk0.10__seed43
sparge_fp16,warp,0.1000,20,,0.910000,24576,262144,433258.0,2537.776,44,sparge_fp16__topk0.10__seed44
sparge_fp16,warp,0.1000,20,,0.910000,24576,262144,433287.0,2537.606,45,sparge_fp16__topk0.10__seed45
sparge_fp16,warp,0.1000,20,,0.910000,24576,262144,433245.0,2537.852,46,sparge_fp16__topk0.10__seed46
sparge_fp16,warp,0.2000,20,,0.810000,49152,262144,760508.0,1445.759,42,sparge_fp16__topk0.20__seed42
sparge_fp16,warp,0.2000,20,,0.810000,49152,262144,791491.0,1389.165,43,sparge_fp16__topk0.20__seed43
sparge_fp16,warp,0.2000,20,,0.810000,49152,262144,792421.0,1387.535,44,sparge_fp16__topk0.20__seed44
sparge_fp16,warp,0.2000,20,,0.810000,49152,262144,765396.0,1436.526,45,sparge_fp16__topk0.20__seed45
sparge_fp16,warp,0.2000,20,,0.810000,49152,262144,791692.0,1388.812,46,sparge_fp16__topk0.20__seed46
sparge_fp16,warp,0.3000,20,,0.700000,77824,262144,1180368.0,931.499,42,sparge_fp16__topk0.30__seed42
sparge_fp16,warp,0.3000,20,,0.700000,77824,262144,1179692.0,932.033,43,sparge_fp16__topk0.30__seed43
sparge_fp16,warp,0.3000,20,,0.700000,77824,262144,1177567.0,933.715,44,sparge_fp16__topk0.30__seed44
sparge_fp16,warp,0.3000,20,,0.700000,77824,262144,1170614.0,939.261,45,sparge_fp16__topk0.30__seed45
sparge_fp16,warp,0.3000,20,,0.700000,77824,262144,1174250.0,936.352,46,sparge_fp16__topk0.30__seed46
sparge_fp16,warp,0.4000,20,,0.610000,102400,262144,1515763.0,725.385,42,sparge_fp16__topk0.40__seed42
sparge_fp16,warp,0.4000,20,,0.610000,102400,262144,1510421.0,727.950,43,sparge_fp16__topk0.40__seed43
