nodeType	expressionStr	Parameter	LibraryLogic_in_config	MinimumRequiredVersion_in_config	RestoreLog	UseEffLike	__name__	altFormat	args_platform	buildOnly	configPaths
Name	a_eq_1	class_Tensile_Configuration_Parameter	FALSE	FALSE	path_to_restore_log	FALSE	Tensile_Tensile	FALSE	1	TRUE	0
Expr	a_eq_1	Tensile_Configuration_Parameter	TRUE	TRUE	NULL	TRUE	__main__	TRUE	0	FALSE	1
Attribute	BenchmarkTaskSize_gt_0	Tensile_Configuration_Parameter	FALSE	FALSE	NULL	FALSE	__main__	FALSE	NULL	FALSE	3
Name	a_plus_b	class_Tensile_Configuration_Parameter	TRUE	TRUE	path_to_restore_log	TRUE	Tensile_Tensile	TRUE	NULL	TRUE	1
Expr	BenchmarkTaskSize_gt_0	class_Tensile_Configuration_Parameter	TRUE	FALSE	NULL	TRUE	Tensile_Tensile	FALSE	0	TRUE	0
Name	BenchmarkTaskSize_gt_0	class_Tensile_Configuration_Parameter	FALSE	TRUE	path_to_restore_log	TRUE	__main__	TRUE	1	FALSE	3
Module	Program_Network_PORT_ge_MaxPort	Tensile_Configuration_Parameter	TRUE	TRUE	path_to_restore_log	FALSE	Tensile_Tensile	TRUE	NULL	FALSE	0
Attribute	a_eq_1	Tensile_Configuration_Parameter	TRUE	FALSE	path_to_restore_log	FALSE	Tensile_Tensile	TRUE	1	TRUE	1
Attribute	Program_Network_PORT_ge_MaxPort	class_Tensile_Configuration_Parameter	FALSE	TRUE	path_to_restore_log	TRUE	__main__	FALSE	0	TRUE	3
Attribute	a_plus_b	Tensile_Configuration_Parameter	FALSE	FALSE	NULL	FALSE	__main__	FALSE	1	FALSE	0
Module	a_eq_1	class_Tensile_Configuration_Parameter	TRUE	FALSE	NULL	TRUE	__main__	FALSE	0	TRUE	3
Expr	a_plus_b	class_Tensile_Configuration_Parameter	FALSE	TRUE	path_to_restore_log	FALSE	Tensile_Tensile	FALSE	0	TRUE	3
Name	Program_Network_PORT_ge_MaxPort	Tensile_Configuration_Parameter	FALSE	FALSE	NULL	FALSE	__main__	FALSE	1	FALSE	1
Expr	BenchmarkTaskSize_gt_0	Tensile_Configuration_Parameter	FALSE	FALSE	path_to_restore_log	TRUE	__main__	TRUE	NULL	FALSE	1
Module	BenchmarkTaskSize_gt_0	class_Tensile_Configuration_Parameter	FALSE	FALSE	path_to_restore_log	TRUE	__main__	TRUE	1	TRUE	1
Expr	Program_Network_PORT_ge_MaxPort	Tensile_Configuration_Parameter	TRUE	TRUE	NULL	FALSE	Tensile_Tensile	FALSE	1	TRUE	0
Module	a_plus_b	class_Tensile_Configuration_Parameter	FALSE	TRUE	NULL	FALSE	Tensile_Tensile	TRUE	0	FALSE	0
Name	BenchmarkTaskSize_gt_0	class_Tensile_Configuration_Parameter	TRUE	TRUE	NULL	FALSE	Tensile_Tensile	TRUE	0	TRUE	0
Expr	a_eq_1	class_Tensile_Configuration_Parameter	FALSE	TRUE	NULL	TRUE	__main__	TRUE	NULL	TRUE	1
